,LFQ intensity SW480_1,LFQ intensity SW480_2,LFQ intensity SW480_3,LFQ intensity SW620_1,LFQ intensity SW620_2,LFQ intensity Sw620_3
4142,0.0,0.0,0.0,0.0,0.0,14090000.0
4143,71480000.0,62813000.0,78198000.0,131230000.0,81585000.0,102750000.0
4144,85025000.0,88936000.0,73875000.0,99027000.0,102070000.0,92377000.0
4145,0.0,0.0,12659000.0,0.0,0.0,0.0
4146,3.6,2.1,64728000.0,10034000.0,4913400.0,17451000.0
4147,21527000.0,20285000.0,22192000.0,0.0,0.0,0.0
4148,110960000.0,132110000.0,94431000.0,103770000.0,116660000.0,100510000.0
4149,0.0,0.0,0.0,0.0,0.0,1179400.0
4150,105450000.0,97179000.0,123000000.0,104750000.0,91932000.0,80595000.0
4151,338780000.0,315270000.0,379810000.0,131350000.0,148920000.0,144940000.0
4152,6862600.0,8815500.0,11728000.0,56708000.0,42637000.0,35818000.0
4153,288560000.0,269180000.0,285550000.0,530820000.0,401720000.0,394100000.0
4154,56728000.0,47268000.0,44927000.0,39666000.0,28656000.0,25989000.0
4155,43499000.0,54398000.0,56821000.0,92045000.0,41644000.0,55998000.0
4156,29423000.0,27657000.0,45226000.0,27756000.0,27557000.0,24219000.0
4157,72944000.0,75894000.0,87664000.0,139350000.0,71622000.0,77029000.0
4158,11441000.0,10507000.0,13103000.0,0.0,8549800.0,0.0
4159,0.0,0.0,0.0,4863700.0,0.0,0.0
4160,355410000.0,322500000.0,387220000.0,422150000.0,382630000.0,332350000.0
4161,0.0,0.0,0.0,0.0,0.0,1063900.0
4162,273120000.0,295520000.0,254980000.0,565680000.0,407500000.0,433090000.0
4163,0.0,0.0,10658000.0,0.0,0.0,0.0
4164,1325600000.0,1329300000.0,1372100000.0,2248800000.0,1978500000.0,2073500000.0
4165,103260000.0,92868000.0,97590000.0,89221000.0,139810000.0,108830000.0
4166,92518000.0,75415000.0,99790000.0,84748000.0,114050000.0,82309000.0
4167,53296000.0,53075000.0,78260000.0,60299000.0,42922000.0,44880000.0
4168,103770000.0,104900000.0,104200000.0,120890000.0,103490000.0,65787000.0
4169,1543700000.0,661700000.0,592450000.0,688210000.0,1242000000.0,909040000.0
4170,48424000.0,31611000.0,75099000.0,51854000.0,27094000.0,27236000.0
4171,107030000.0,83981000.0,108880000.0,56866000.0,101880000.0,68656000.0
4172,22913000.0,16986000.0,33627000.0,0.0,0.0,0.0
4173,0.0,0.0,0.0,0.0,0.0,5136400.0
4174,0.0,15955000.0,21496000.0,21727000.0,14584000.0,15981000.0
4175,0.0,0.0,0.0,0.0,6784600.0,17231000.0
4176,15250000.0,17916000.0,29150000.0,66335000.0,25318000.0,29511000.0
4177,448270000.0,442290000.0,467980000.0,538210000.0,634210000.0,653830000.0
4178,7567700.0,0.0,0.0,0.0,0.0,0.0
4179,111400000.0,333110000.0,131490000.0,74178000.0,117750000.0,124340000.0
4180,205160000.0,244030000.0,196870000.0,283980000.0,293000000.0,308070000.0
4181,30712000.0,26196000.0,28095000.0,28013000.0,23518000.0,20243000.0
4182,160060000.0,151380000.0,164270000.0,59073000.0,83139000.0,89538000.0
4183,46850000.0,40639000.0,68085000.0,92616000.0,70503000.0,52326000.0
4184,151150000.0,139200000.0,140020000.0,114670000.0,135480000.0,171340000.0
4185,159000000.0,422220000.0,409480000.0,194340000.0,336840000.0,167660000.0
4186,0.0,0.0,0.0,0.0,0.0,363130000.0
4187,34.2,44.068,395.0,395.0,395.0,395.0
4188,134350000.0,153770000.0,131270000.0,237600000.0,174810000.0,200300000.0
4189,49454000.0,43418000.0,48436000.0,109750000.0,43935000.0,59355000.0
4190,41553000.0,30203000.0,41716000.0,63776000.0,42751000.0,46849000.0
4191,0.0,0.0,0.0,0.0,94424000.0,0.0
4192,101470000.0,104850000.0,97487000.0,91479000.0,86477000.0,84307000.0
4193,52973000.0,54265000.0,32755000.0,43850000.0,34067000.0,36522000.0
4194,63265000.0,72820000.0,92725000.0,57353000.0,87076000.0,78063000.0
4195,38446000.0,9841600.0,11645000.0,0.0,0.0,21811000.0
4196,286560000.0,239400000.0,236050000.0,65868000.0,42917000.0,36903000.0
